                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2833,                 1.1868,                  1.188,                0.61218,                0.52511,                0.55838,                0.37285,                 1.1663,                0.95773,                 1.1443,               0.008878,               0.008878,               0.008878
                     36,                 1.2761,                 1.1777,                 1.1856,                0.63323,                0.52128,                0.55898,                0.37312,                 1.1655,                0.95593,                  1.143,               0.008845,               0.008845,               0.008845
                     37,                 1.2843,                 1.1851,                 1.1887,                 0.6051,                0.53319,                0.55308,                0.37221,                  1.164,                0.95544,                 1.1424,               0.008812,               0.008812,               0.008812
                     38,                 1.2802,                  1.179,                  1.186,                0.63261,                0.52713,                0.55458,                0.37103,                  1.164,                0.95524,                 1.1419,               0.008779,               0.008779,               0.008779
                     39,                 1.2786,                 1.1873,                 1.1871,                0.61433,                0.52865,                0.55513,                0.37285,                 1.1626,                0.95358,                 1.1407,               0.008746,               0.008746,               0.008746
                     40,                 1.2742,                 1.1689,                 1.1838,                0.63262,                0.51759,                0.55448,                0.37185,                 1.1619,                0.95152,                   1.14,               0.008713,               0.008713,               0.008713
                     41,                 1.2754,                  1.175,                 1.1833,                0.63363,                0.51562,                0.55515,                0.37234,                 1.1604,                0.94899,                 1.1391,                0.00868,                0.00868,                0.00868
                     42,                 1.2744,                 1.1795,                 1.1859,                0.63207,                 0.5146,                 0.5568,                0.37203,                  1.159,                0.94804,                 1.1385,               0.008647,               0.008647,               0.008647
                     43,                 1.2733,                 1.1654,                 1.1816,                0.63949,                0.51216,                0.55716,                0.37276,                 1.1576,                0.94654,                 1.1377,               0.008614,               0.008614,               0.008614
                     44,                 1.2696,                 1.1701,                 1.1816,                0.63155,                0.51942,                0.55865,                 0.3744,                 1.1559,                0.94623,                 1.1365,               0.008581,               0.008581,               0.008581
                     45,                 1.2638,                 1.1574,                 1.1771,                 0.6279,                0.52167,                0.56024,                0.37594,                 1.1553,                0.94537,                 1.1363,               0.008548,               0.008548,               0.008548
                     46,                 1.2623,                 1.1536,                 1.1734,                0.63666,                 0.5227,                0.56119,                0.37662,                 1.1549,                 0.9439,                  1.136,               0.008515,               0.008515,               0.008515
                     47,                 1.2652,                 1.1573,                 1.1785,                0.63674,                0.52374,                0.56299,                0.37665,                 1.1542,                0.94273,                 1.1357,               0.008482,               0.008482,               0.008482
                     48,                 1.2626,                 1.1522,                 1.1771,                0.63854,                0.52562,                0.56438,                0.37806,                 1.1539,                0.94154,                 1.1356,               0.008449,               0.008449,               0.008449
                     49,                 1.2556,                 1.1439,                 1.1745,                0.61238,                0.53751,                0.56527,                0.37813,                 1.1536,                0.94048,                  1.135,               0.008416,               0.008416,               0.008416
                     50,                 1.2629,                 1.1569,                  1.174,                0.61311,                 0.5416,                 0.5656,                0.37804,                 1.1527,                0.93899,                 1.1341,               0.008383,               0.008383,               0.008383
                     51,                 1.2574,                 1.1409,                 1.1717,                0.61086,                0.54664,                0.56561,                0.37844,                  1.152,                0.93833,                 1.1338,                0.00835,                0.00835,                0.00835
                     52,                 1.2521,                 1.1455,                 1.1711,                0.60711,                0.54922,                0.56653,                0.37895,                 1.1516,                0.93705,                 1.1337,               0.008317,               0.008317,               0.008317
                     53,                 1.2548,                 1.1431,                 1.1709,                0.61289,                0.54881,                0.56634,                0.37944,                 1.1504,                0.93658,                 1.1331,               0.008284,               0.008284,               0.008284
                     54,                 1.2484,                 1.1468,                 1.1682,                0.61197,                0.55094,                0.56689,                0.37959,                   1.15,                0.93525,                  1.133,               0.008251,               0.008251,               0.008251
                     55,                 1.2526,                  1.144,                 1.1707,                0.60767,                0.55205,                0.56698,                0.38012,                 1.1495,                0.93454,                 1.1328,               0.008218,               0.008218,               0.008218
                     56,                 1.2527,                 1.1441,                 1.1712,                0.60659,                0.55589,                0.56888,                0.38108,                 1.1492,                 0.9336,                 1.1326,               0.008185,               0.008185,               0.008185
                     57,                 1.2496,                  1.129,                 1.1656,                0.60739,                0.55074,                0.56737,                 0.3814,                 1.1488,                0.93268,                 1.1321,               0.008152,               0.008152,               0.008152
                     58,                 1.2493,                 1.1368,                 1.1688,                0.60613,                0.54986,                0.56718,                0.38231,                 1.1486,                0.93132,                 1.1319,               0.008119,               0.008119,               0.008119
                     59,                 1.2461,                 1.1361,                 1.1694,                 0.6091,                0.54835,                0.56746,                0.38259,                 1.1486,                0.93051,                 1.1321,               0.008086,               0.008086,               0.008086
                     60,                  1.247,                 1.1275,                 1.1683,                0.59739,                0.56176,                0.56821,                0.38318,                 1.1486,                0.92941,                 1.1319,               0.008053,               0.008053,               0.008053
                     61,                 1.2487,                 1.1389,                 1.1679,                0.59989,                0.56392,                0.56901,                0.38366,                 1.1484,                0.92883,                 1.1318,                0.00802,                0.00802,                0.00802
                     62,                 1.2439,                 1.1297,                  1.163,                0.60654,                0.55671,                 0.5687,                0.38494,                 1.1479,                0.92772,                 1.1312,               0.007987,               0.007987,               0.007987
                     63,                 1.2413,                 1.1207,                 1.1626,                0.60636,                0.55761,                0.56916,                0.38578,                 1.1474,                0.92679,                  1.131,               0.007954,               0.007954,               0.007954
                     64,                 1.2437,                 1.1282,                 1.1672,                0.60608,                0.55752,                0.56961,                0.38637,                  1.147,                0.92579,                 1.1308,               0.007921,               0.007921,               0.007921
                     65,                 1.2384,                 1.1169,                 1.1612,                0.60226,                 0.5606,                0.57065,                0.38669,                 1.1467,                0.92482,                 1.1308,               0.007888,               0.007888,               0.007888
                     66,                 1.2409,                 1.1181,                  1.162,                 0.6047,                0.55683,                0.57131,                0.38689,                 1.1464,                0.92386,                 1.1308,               0.007855,               0.007855,               0.007855
                     67,                 1.2366,                 1.1124,                 1.1583,                0.61044,                0.55072,                0.57134,                0.38758,                 1.1457,                0.92255,                 1.1303,               0.007822,               0.007822,               0.007822
                     68,                 1.2407,                 1.1184,                  1.162,                0.60806,                0.54808,                 0.5723,                0.38823,                  1.145,                0.92181,                 1.1299,               0.007789,               0.007789,               0.007789
                     69,                 1.2382,                 1.1174,                 1.1591,                0.62886,                0.53095,                0.57117,                0.38851,                 1.1443,                0.92094,                 1.1294,               0.007756,               0.007756,               0.007756
                     70,                 1.2421,                 1.1162,                 1.1619,                0.61063,                0.54893,                0.57197,                0.38903,                 1.1433,                0.92009,                 1.1291,               0.007723,               0.007723,               0.007723
                     71,                 1.2366,                 1.1177,                 1.1609,                0.60914,                0.55152,                0.57214,                0.38927,                 1.1428,                0.91911,                 1.1287,                0.00769,                0.00769,                0.00769
                     72,                 1.2316,                 1.1106,                 1.1599,                0.62464,                0.54044,                0.57185,                0.38901,                 1.1423,                0.91825,                 1.1286,               0.007657,               0.007657,               0.007657
                     73,                 1.2308,                 1.1091,                 1.1573,                0.62569,                0.54237,                0.57274,                0.39076,                 1.1418,                 0.9174,                 1.1281,               0.007624,               0.007624,               0.007624
                     74,                 1.2334,                 1.1053,                 1.1558,                0.59872,                0.56724,                 0.5739,                0.39109,                 1.1412,                0.91641,                 1.1278,               0.007591,               0.007591,               0.007591
                     75,                 1.2315,                  1.107,                  1.156,                0.63358,                0.54113,                0.57525,                0.39158,                 1.1408,                0.91562,                 1.1277,               0.007558,               0.007558,               0.007558
                     76,                 1.2295,                 1.1114,                 1.1575,                0.63273,                0.53901,                0.57392,                0.39245,                 1.1401,                0.91458,                 1.1272,               0.007525,               0.007525,               0.007525
                     77,                 1.2278,                 1.1041,                 1.1548,                0.60338,                0.57031,                0.57501,                0.39366,                 1.1394,                0.91393,                 1.1265,               0.007492,               0.007492,               0.007492
                     78,                 1.2293,                 1.1051,                 1.1548,                0.60318,                0.57315,                0.57609,                0.39424,                 1.1388,                0.91345,                 1.1263,               0.007459,               0.007459,               0.007459
                     79,                 1.2275,                 1.0999,                 1.1548,                0.60192,                0.57401,                0.57739,                  0.395,                 1.1387,                0.91271,                 1.1261,               0.007426,               0.007426,               0.007426
                     80,                 1.2313,                 1.0996,                 1.1561,                0.60348,                0.57113,                0.57738,                0.39454,                 1.1385,                0.91214,                  1.126,               0.007393,               0.007393,               0.007393
                     81,                 1.2255,                 1.1011,                 1.1545,                0.61325,                 0.5587,                0.57635,                0.39478,                  1.138,                0.91147,                 1.1259,                0.00736,                0.00736,                0.00736
                     82,                 1.2261,                 1.0978,                 1.1549,                0.60872,                  0.561,                0.57722,                  0.395,                 1.1376,                 0.9107,                 1.1256,               0.007327,               0.007327,               0.007327
                     83,                 1.2273,                  1.101,                 1.1523,                0.60494,                0.56746,                 0.5774,                0.39465,                 1.1376,                0.91045,                 1.1254,               0.007294,               0.007294,               0.007294
                     84,                 1.2252,                 1.0946,                 1.1513,                 0.6018,                0.57215,                0.57695,                0.39483,                 1.1374,                0.90967,                 1.1253,               0.007261,               0.007261,               0.007261
                     85,                 1.2176,                 1.0944,                 1.1491,                0.60318,                0.57514,                0.57679,                0.39538,                 1.1367,                0.90899,                 1.1246,               0.007228,               0.007228,               0.007228
                     86,                 1.2277,                 1.0986,                 1.1538,                0.60429,                0.57571,                0.57698,                0.39578,                 1.1363,                0.90836,                 1.1244,               0.007195,               0.007195,               0.007195
                     87,                 1.2192,                 1.0935,                 1.1507,                0.60477,                0.57866,                0.57781,                0.39659,                  1.136,                0.90752,                  1.124,               0.007162,               0.007162,               0.007162
                     88,                 1.2207,                 1.0919,                 1.1499,                 0.6067,                0.58005,                0.57794,                0.39694,                 1.1355,                0.90715,                 1.1237,               0.007129,               0.007129,               0.007129
                     89,                 1.2173,                 1.0883,                 1.1476,                0.60296,                0.57874,                0.57895,                0.39768,                 1.1352,                0.90678,                 1.1235,               0.007096,               0.007096,               0.007096
                     90,                 1.2179,                 1.0832,                 1.1471,                0.60149,                0.57955,                0.57891,                0.39771,                 1.1351,                0.90655,                 1.1235,               0.007063,               0.007063,               0.007063
                     91,                 1.2205,                 1.0913,                  1.151,                0.60129,                0.57994,                0.58021,                0.39844,                 1.1349,                0.90584,                 1.1236,                0.00703,                0.00703,                0.00703
                     92,                 1.2157,                 1.0864,                 1.1454,                0.60084,                0.58017,                0.58043,                0.39885,                 1.1347,                0.90513,                 1.1236,               0.006997,               0.006997,               0.006997
                     93,                 1.2212,                 1.0856,                 1.1463,                0.60274,                0.57812,                0.57989,                0.39944,                 1.1343,                 0.9046,                 1.1232,               0.006964,               0.006964,               0.006964
                     94,                 1.2194,                 1.0809,                 1.1494,                0.60231,                0.57582,                0.58004,                0.39914,                 1.1342,                0.90367,                 1.1233,               0.006931,               0.006931,               0.006931
                     95,                 1.2155,                 1.0753,                 1.1437,                0.60825,                0.57554,                0.58053,                0.39919,                 1.1339,                0.90335,                  1.123,               0.006898,               0.006898,               0.006898
                     96,                 1.2129,                 1.0803,                  1.145,                0.60877,                0.57638,                0.58132,                0.40044,                 1.1336,                0.90281,                 1.1228,               0.006865,               0.006865,               0.006865
